Genome ID,Species,pathovar,Number of IMEs,Number of ICEs,Number of conjugative plasmids,Number of mobilizable plasmids,Number of plasmids
GCA_000940825.1_ASM94082v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_000948075.1_ASM94807v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001021915.1_ASM102191v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_001042735.1_ASM104273v1,Xanthomonas oryzae,oryzicola,0,0,1,0,1
GCA_001042745.1_ASM104274v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_001042775.1_ASM104277v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_001042795.1_ASM104279v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_001042815.1_ASM104281v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_001042835.1_ASM104283v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_001042855.1_ASM104285v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_001042875.1_ASM104287v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_001276975.2_ASM127697v2,Xanthomonas oryzae,leersiae,1,0,0,0,0
GCA_001466505.1_ASM146650v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_001518895.1_ASM151889v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746595.1_ASM174659v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746615.1_ASM174661v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746635.1_ASM174663v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746655.1_ASM174665v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746675.1_ASM174667v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746695.1_ASM174669v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746715.1_ASM174671v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001746735.1_ASM174673v1,Xanthomonas oryzae,oryzae - Asian-like strains,1,0,0,0,0
GCA_001927405.2_ASM192740v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,2,0,2
GCA_001927545.2_ASM192754v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_001927725.2_ASM192772v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_001927795.2_ASM192779v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001927855.2_ASM192785v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928005.2_ASM192800v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_001928035.2_ASM192803v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928095.2_ASM192809v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,1,1
GCA_001928165.2_ASM192816v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928175.2_ASM192817v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928215.2_ASM192821v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928355.2_ASM192835v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_001928485.2_ASM192848v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,2,0,2
GCA_001928525.2_ASM192852v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928585.2_ASM192858v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,2,0,2
GCA_001928695.2_ASM192869v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928825.2_ASM192882v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928835.2_ASM192883v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928905.2_ASM192890v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928985.2_ASM192898v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001928995.2_ASM192899v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929005.2_ASM192900v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929015.2_ASM192901v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929065.2_ASM192906v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929075.2_ASM192907v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929085.2_ASM192908v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929095.2_ASM192909v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929155.2_ASM192915v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929165.2_ASM192916v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_001929235.2_ASM192923v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_001929245.2_ASM192924v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_002023005.1_ASM202300v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_002850075.1_ASM285007v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002850095.1_ASM285009v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002850115.1_ASM285011v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002850135.1_ASM285013v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002850155.1_ASM285015v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002850175.1_ASM285017v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002850195.1_ASM285019v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002850215.1_ASM285021v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_002895725.2_ASM289572v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003031365.1_ASM303136v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_003031385.1_ASM303138v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_003122405.1_ASM312240v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003351825.1_ASM335182v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003351845.1_ASM335184v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382775.1_ASM338277v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382795.1_ASM338279v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382815.1_ASM338281v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382835.1_ASM338283v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382855.1_ASM338285v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382875.1_ASM338287v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382895.1_ASM338289v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382915.1_ASM338291v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003382935.1_ASM338293v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003427055.1_ASM342705v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,1,1
GCA_003428965.1_ASM342896v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003522605.1_ASM352260v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003932055.1_ASM393205v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_003932075.1_ASM393207v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004136375.1_ASM413637v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004136395.1_ASM413639v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004319445.1_ASM431944v1,Xanthomonas oryzae,leersiae,0,0,0,0,0
GCA_004319465.1_ASM431946v1,Xanthomonas oryzae,leersiae,0,0,0,0,0
GCA_004319485.1_ASM431948v1,Xanthomonas oryzae,leersiae,0,0,0,0,0
GCA_004319505.1_ASM431950v1,Xanthomonas oryzae,leersiae,0,0,0,0,0
GCA_004322815.1_ASM432281v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004322835.1_ASM432283v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355285.1_ASM435528v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355305.1_ASM435530v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355325.1_ASM435532v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355345.1_ASM435534v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355365.1_ASM435536v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355385.1_ASM435538v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355405.1_ASM435540v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355425.1_ASM435542v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355445.1_ASM435544v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355465.1_ASM435546v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355485.1_ASM435548v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355505.1_ASM435550v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355525.1_ASM435552v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355545.1_ASM435554v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355565.1_ASM435556v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355585.1_ASM435558v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355605.1_ASM435560v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,0,0,0
GCA_004355705.1_ASM435570v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355725.1_ASM435572v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355745.1_ASM435574v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355765.2_ASM435576v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355785.1_ASM435578v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355805.1_ASM435580v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355825.1_ASM435582v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355845.1_ASM435584v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_004355865.1_ASM435586v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_004355885.3_ASM435588v3,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_008370835.2_ASM837083v2,Xanthomonas oryzae,oryzicola,1,0,1,0,1
GCA_009660205.1_ASM966020v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_009664105.1_ASM966410v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_009707765.1_ASM970776v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_011045315.1_ASM1104531v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_011604745.1_ASM1160474v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_011604765.1_ASM1160476v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_011604785.1_ASM1160478v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_016864875.1_ASM1686487v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_017577225.1_ASM1757722v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_018288775.1_ASM1828877v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_018310515.1_ASM1831051v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_019915985.1_ASM1991598v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_020084945.1_ASM2008494v1,Xanthomonas oryzae,oryzicola,1,0,1,0,1
GCA_020790135.1_ASM2079013v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_020866785.1_ASM2086678v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_020866865.1_ASM2086686v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_021228635.1_ASM2122863v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_021729945.1_ASM2172994v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_022406815.1_ASM2240681v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_022409615.1_ASM2240961v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_022559705.1_ASM2255970v1,Xanthomonas oryzae,leersiae,1,0,0,0,0
GCA_022751255.1_ASM2275125v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_023586865.1_ASM2358686v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_023650685.1_ASM2365068v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_024499285.1_ASM2449928v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,1,1
GCA_024981335.1_ASM2498133v1,Xanthomonas oryzae,oryzae - African-like strains,0,0,1,0,1
GCA_025264145.1_ASM2526414v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_027257035.1_ASM2725703v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752255.1_ASM2875225v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752275.1_ASM2875227v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752295.1_ASM2875229v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752315.1_ASM2875231v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752335.1_ASM2875233v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752355.1_ASM2875235v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_028752375.1_ASM2875237v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752395.1_ASM2875239v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,2,0,2
GCA_028752415.1_ASM2875241v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752435.1_ASM2875243v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752455.1_ASM2875245v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752475.1_ASM2875247v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752495.1_ASM2875249v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752515.1_ASM2875251v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_028752535.1_ASM2875253v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029026945.1_ASM2902694v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029026965.1_ASM2902696v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029026985.1_ASM2902698v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029027105.1_ASM2902710v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029204245.1_ASM2920424v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029204265.1_ASM2920426v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029204285.1_ASM2920428v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_029542325.1_ASM2954232v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,1,0,1
GCA_029962345.1_ASM2996234v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_030177815.1_ASM3017781v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_030284465.1_ASM3028446v1,Xanthomonas oryzae,leersiae,3,0,0,0,0
GCA_036352055.1_ASM3635205v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_037846825.1_ASM3784682v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_038380135.1_ASM3838013v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_039555255.1_PkXoo2_homopolish,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_040202085.2_NCPPB5234_v2_ONT,Xanthomonas oryzae,oryzicola,0,0,1,0,1
GCA_040202795.2_ASM4020279v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_040500315.1_ASM4050031v1,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_040804865.1_ASM4080486v1,Xanthomonas oryzae,oryzicola,1,0,0,0,0
GCA_040834045.1_ASM4083404v1,Xanthomonas oryzae,oryzicola,1,0,1,0,1
GCA_040834055.1_ASM4083405v1,Xanthomonas oryzae,oryzicola,0,0,1,0,1
